timestamp,open,high,low,close,adjusted close,volume,dividend amount
2005-07-29,1191.3300,1245.1500,1183.5500,1234.1801,1234.1801,37464670000,0.0000
2005-06-30,1191.5000,1219.5900,1188.3000,1191.3300,1191.3300,40334040000,0.0000
2005-05-31,1156.8500,1199.5601,1146.1801,1191.5000,1191.5000,39321990000,0.0000
2005-04-29,1180.5900,1191.8800,1136.1500,1156.8500,1156.8500,43424270000,0.0000
2005-03-31,1203.6000,1229.1100,1163.6899,1180.5900,1180.5900,39014150000,0.0000
2005-02-28,1181.2700,1212.4399,1180.9500,1203.6000,1203.6000,29297410000,0.0000
2005-01-31,1211.9200,1217.8000,1163.7500,1181.2700,1181.2700,31498800000,0.0000
2004-12-31,1173.7800,1217.3300,1173.7800,1211.9200,1211.9200,31102500000,0.0000
2004-11-30,1130.2000,1188.4600,1127.6000,1173.8199,1173.8199,30460280000,0.0000
2004-10-29,1114.5800,1142.0500,1090.2900,1130.2000,1130.2000,31511000000,0.0000
2004-09-30,1104.2400,1131.5400,1099.1801,1114.5800,1114.5800,26829870000,0.0000
2004-08-31,1101.7200,1109.6801,1060.7200,1104.2400,1104.2400,26586800000,0.0000
2004-07-30,1140.8400,1140.8400,1078.7800,1101.7200,1101.7200,29285600000,0.0000
2004-06-30,1120.6801,1146.3400,1113.3199,1140.8400,1140.8400,27529500000,0.0000
2004-05-28,1107.3000,1127.7400,1076.3199,1120.6801,1120.6801,29326400000,0.0000
2004-04-30,1126.2100,1150.5699,1107.2300,1107.3000,1107.3000,31611900000,0.0000
2004-03-31,1144.9399,1163.2300,1087.1600,1126.2100,1126.2100,33597900000,0.0000
2004-02-27,1131.1300,1158.9800,1124.4399,1144.9399,1144.9399,27985600000,0.0000
2004-01-30,1111.9200,1155.3800,1105.0800,1131.1300,1131.1300,32820000000,0.0000
2003-12-31,1058.2000,1112.5601,1053.4100,1111.9200,1111.9200,27839130000,0.0000
2003-11-28,1050.7100,1063.6500,1031.2000,1058.2000,1058.2000,24463220000,0.0000
2003-10-31,995.9700,1053.7900,995.9700,1050.7100,1050.7100,32298500000,0.0000
2003-09-30,1008.0100,1040.2900,990.3600,995.9700,995.9700,29940110000,0.0000
2003-08-29,990.3100,1011.0100,960.8400,1008.0100,1008.0100,24881470000,0.0000
2003-07-31,974.5000,1015.4100,962.1000,990.3100,990.3100,31553200000,0.0000
2003-06-30,963.5900,1015.3300,963.5900,974.5000,974.5000,31219400000,0.0000
2003-05-30,916.9200,965.3800,902.8300,963.5900,963.5900,30952100000,0.0000
2003-04-30,848.1800,924.2400,847.8500,916.9200,916.9200,29669610000,0.0000
2003-03-31,841.1500,895.9000,788.9000,848.1800,848.1800,30080030000,0.0000
2003-02-28,855.7000,864.6400,806.2900,841.1500,841.1500,25235300000,0.0000
2003-01-31,879.8200,935.0500,840.3400,855.7000,855.7000,30749580000,0.0000
2002-12-31,936.3100,954.2800,869.4500,879.8200,879.8200,25993640000,0.0000
2002-11-29,885.7600,941.8200,872.0500,936.3100,936.3100,29200960000,0.0000
2002-10-31,815.2800,907.4400,768.6300,885.7600,885.7600,37856310000,0.0000
2002-09-30,916.0700,924.0200,800.2000,815.2800,815.2800,27723710000,0.0000
2002-08-30,911.6200,965.0000,833.4400,916.0700,916.0700,29298400000,0.0000
2002-07-31,989.8200,994.4600,775.6800,911.6200,911.6200,42228720000,0.0000
2002-06-28,1067.1400,1070.7400,952.9200,989.8200,989.8200,29981510000,0.0000
2002-05-31,1076.9200,1106.5900,1048.9600,1067.1400,1067.1400,26905500000,0.0000
2002-04-30,1147.3900,1147.8400,1063.4600,1076.9200,1076.9200,28568900000,0.0000
2002-03-28,1106.7300,1173.9399,1106.7300,1147.3900,1147.3900,26563200000,0.0000
2002-02-28,1130.2000,1130.2000,1074.3600,1106.7300,1106.7300,26047600000,0.0000
2002-01-31,1148.0800,1176.9700,1081.6600,1130.2000,1130.2000,29746200000,0.0000
2001-12-31,1139.4500,1173.6200,1114.5300,1148.0800,1148.0800,25128570000,0.0000
2001-11-30,1059.7800,1163.3800,1054.3101,1139.4500,1139.4500,26330000000,0.0000
2001-10-31,1040.9399,1110.6100,1026.7600,1059.7800,1059.7800,29951280000,0.0000
2001-09-28,1133.5800,1155.4000,944.7500,1040.9399,1040.9399,25025290000,0.0000
2001-08-31,1211.2300,1226.2700,1124.8700,1133.5800,1133.5800,23359200000,0.0000
2001-07-31,1224.4200,1239.7800,1165.5400,1211.2300,1211.2300,23793710000,0.0000
2001-06-29,1255.8199,1286.6200,1203.0300,1224.3800,1224.3800,24748030000,0.0000
2001-05-31,1249.4600,1315.9301,1232.0000,1255.8199,1255.8199,24525900000,0.0000
2001-04-30,1160.3300,1269.3000,1091.9900,1249.4600,1249.4600,25409990000,0.0000
2001-03-30,1239.9399,1267.4200,1081.1899,1160.3300,1160.3300,27806610000,0.0000
2001-02-28,1366.0100,1376.3800,1215.4399,1239.9399,1239.9399,21644400000,0.0000
2001-01-31,1320.2800,1383.3700,1274.6200,1366.0100,1366.0100,27829800000,0.0000
2000-12-29,1314.9500,1389.0500,1254.0699,1320.2800,1320.2800,23610800000,0.0000
2000-11-30,1429.4000,1438.4600,1294.9000,1314.9500,1314.9500,20532300000,0.0000
2000-10-31,1436.5200,1454.8199,1305.7900,1429.4000,1429.4000,25951400000,0.0000
2000-09-29,1517.6801,1530.0900,1419.4399,1436.5100,1436.5100,20838300000,0.0000
2000-08-31,1430.8300,1525.2100,1425.4301,1517.6801,1517.6801,20363700000,0.0000
2000-07-31,1454.6000,1517.3199,1413.8900,1430.8300,1430.8300,19089100000,0.0000
2000-06-30,1420.6000,1488.9301,1420.6000,1454.6000,1454.6000,21738300000,0.0000
2000-05-31,1452.4301,1481.5100,1361.0900,1420.6000,1420.6000,19898300000,0.0000
2000-04-28,1498.5800,1527.1899,1339.4000,1452.4301,1452.4301,20106460000,0.0000
2000-03-31,1366.4200,1552.8700,1346.6200,1498.5800,1498.5800,26156200000,0.0000
2000-02-29,1394.4600,1444.5500,1325.0699,1366.4200,1366.4200,20912000000,0.0000
